countryCode,thematicIdIdentifier,thematicIdIdentifierScheme,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,monitoringSiteName,waterBodyIdentifier,waterBodyIdentifierScheme,waterBodyName,specialisedZoneType,naturalAWBHMWB,reservoir,surfaceWaterBodyTypeCode,subUnitIdentifier,subUnitIdentifierScheme,subUnitName,rbdIdentifier,rbdIdentifierScheme,rbdName,confidentialityStatus,lon,lat,statusCode
"CH","CHRBD-3","eionetRBDCode","","","","","","","","","","","","","","CHRBD-3","eionetRBDCode","DANUBE","inapplicable","10.13005","46.66770","stable"
"CH","CHRHONECHANCY","eionetSubUnitCode","","","","","","","riverBasinDistrictSubUnit","","","","CHRHONECHANCY","eionetSubUnitCode","RHONECHANCY_CH-PART","CHRBD-2","eionetRBDCode","RHONE","inapplicable","","","retired"
"CH","CH5003","eionetSubUnitCode","","","","","","","riverBasinDistrictSubUnit","","","","CH5003","eionetSubUnitCode","RHO-EZGUS","CHRBD-2","eionetRBDCode","RHONE","inapplicable","","","retired"
"CH","CHSU-3","eionetSubUnitCode","","","","","","","riverBasinDistrictSubUnit","","","","CHSU-3","eionetSubUnitCode","DANUBE","CHRBD-3","eionetRBDCode","DANUBE","inapplicable","10.13005","46.66770","stable"
"CH","CHLWB-3005","eionetSurfaceWaterBodyCode","","","","CHLWB-3005","eionetSurfaceWaterBodyCode","ZÜRICHSEE","lakeWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","inapplicable","8.59785","47.27912","stable"
"CH","CHLWB-3015","eionetSurfaceWaterBodyCode","","","","CHLWB-3015","eionetSurfaceWaterBodyCode","SEMPACHERSEE","lakeWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","inapplicable","8.15270","47.14587","stable"
"CH","CHSU-2","eionetSubUnitCode","","","","","","","riverBasinDistrictSubUnit","","","","CHSU-2","eionetSubUnitCode","RHONE","CHRBD-2","eionetRBDCode","RHONE","inapplicable","7.47670","46.27011","stable"
"CH","CH5002","eionetSubUnitCode","","","","","","","riverBasinDistrictSubUnit","","","","CH5002","eionetSubUnitCode","DOUBS","CHRBD-2","eionetRBDCode","RHONE","inapplicable","","","retired"
"CH","CH8002","eionetSubUnitCode","","","","","","","riverBasinDistrictSubUnit","","","","CH8002","eionetSubUnitCode","INNS-CHANF","CHRBD-3","eionetRBDCode","DANUBE","inapplicable","","","retired"
"CH","CH6001","eionetSubUnitCode","","","","","","","riverBasinDistrictSubUnit","","","","CH6001","eionetSubUnitCode","TICINO","CHRBD-4","eionetRBDCode","PO","inapplicable","","","retired"
"CH","CHRHONEPDSCEX","eionetSubUnitCode","","","","","","","riverBasinDistrictSubUnit","","","","CHRHONEPDSCEX","eionetSubUnitCode","RHONE UPSTREAM LAKE GENEVA","CHRBD-2","eionetRBDCode","RHONE","inapplicable","","","retired"
"CH","CHINNS-CHANF","eionetSubUnitCode","","","","","","","riverBasinDistrictSubUnit","","","","CHINNS-CHANF","eionetSubUnitCode","INNS-CHANF","CHRBD-3","eionetRBDCode","DANUBE","inapplicable","","","retired"
"CH","CHSU-1","eionetSubUnitCode","","","","","","","riverBasinDistrictSubUnit","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","inapplicable","8.15005","47.06708","stable"
"CH","CHLWB-3013","eionetSurfaceWaterBodyCode","","","","CHLWB-3013","eionetSurfaceWaterBodyCode","BALDEGGERSEE","lakeWaterBody","","","","CHSU-1","eionetSubUnitCode","RHINE","CHRBD-1","eionetRBDCode","RHINE","inapplicable","8.26001","47.20167","stable"
"CH","CHREZGUS","eionetSubUnitCode","","","","","","","riverBasinDistrictSubUnit","","","","CHREZGUS","eionetSubUnitCode","RHINE DOWNSTREAM OF THE ALPINE LAKES","CHRBD-1","eionetRBDCode","RHINE","inapplicable","","","retired"
"CH","CHLWB-3046","eionetSurfaceWaterBodyCode","","","","CHLWB-3046","eionetSurfaceWaterBodyCode","LAGO DI LUGANO SÜDBECKEN","lakeWaterBody","","","","CHSU-4","eionetSubUnitCode","PO","CHRBD-4","eionetRBDCode","PO","inapplicable","8.95310","45.95004","stable"
"CH","CHRBD-4","eionetRBDCode","","","","","","","","","","","","","","CHRBD-4","eionetRBDCode","PO","inapplicable","8.86542","46.22195","stable"
"CH","CHTICINORIAZZINO","eionetSubUnitCode","","","","","","","riverBasinDistrictSubUnit","","","","CHTICINORIAZZINO","eionetSubUnitCode","TICINORIAZZINO-CH-PART","CHRBD-4","eionetRBDCode","PO","inapplicable","","","retired"
